bairro,posicao,logradouro
BAIXA GRANDE,1,RUA 8
BAIXA GRANDE,2,850
BALNEARIO PUBLICO,1,RUA JOSE GERONIMO COSTA FILHO
BANGUE 2,1,RUA MARIA ANGELINA DA SILVA
BANGUE 2,2,S/N
BANGUE I,1,TRAVESSA FRANCISCO JARDILINO
BANGUE I,2,66
BARBALHO,1,RUA R11
BARBALHO,2,S/N
BARRA DO CEARA,1,RUA 6 COMPANHEIROS
BARRA DO CEARA,2,34
BARRA DO CEARA,3,RUA ASTROGILDO FONTOURA
BARRA DO CEARA,4,51
BARRA DO CEARA,5,RUA SAUDARIA
BARRA DO CEARA,6,112
BARRA VERMELHA,1,ESTRADA DA BARRA VERMELHA
BARRA VERMELHA,2,S/N
BARREIRA DOS VIANA,1,RUA CENTRAL DE BARREIRA DOS VIANA
BARREIRA DOS VIANA,2,S/N
BARREIROS,1,RUA CRECENDO PEREIRA
BARREIROS,2,867
BARRO BRANCO,1,RUA KASSIA TOME
BARRO BRANCO,2,102
BARROSO,1,RUA EST. DO ITAPERI
BELA VISTA,1,RUA DO COMERCIO
BELA VISTA,2,S/N
BELA VISTA,3,CENTRO
BELA VISTA,4,DISTRITO DE MINEIROLANDIA
BENFICA,1,RUA PAULINO NOGUEIRA COM RUA MARECHAL TEODORO
BEZERRA E SOUSA,1,BR 020
BEZERRA E SOUSA,2,KM 85
BEZERRA E SOUZA,1,RUA A
BEZERRA E SOUZA,2,S/N
BOA ESPERANCA,1,RUA DOMINGOS RODRIGUES VIANA
BOA ESPERANCA,2,414
BOA VIAGINHA,1,RODOVIA BR-020
BOA VIAGINHA,2,KM 204
BOM SUCESSO,1,RUA ARASSA
BOM SUCESSO,2,RUA VERBANA
BOM SUCESSO,3,360
BOQUEIRAO,1,RUA DO ACUDE
BOQUEIRAO,2,S/N
BOQUEIRAO DO CESARIO,1,RUA DO ESCURO
BOQUEIRAO DO CESARIO,2,S/N
BRASILIA,1,RUA JOSE LUDGERO
BRASILIA,2,S/N
BRASILIA,3,TRAVESSA CASEMIRO PEREIRA
BRASILIA,4,36
BREJO SANTO,1,PASSAGEM DA PEDRA
BREJO SANTO,2,S/N
BUENOS AIRES,1,UA MAIA DA SILVA
BUENOS AIRES,2,50
BURITI,1,CONDOMINIO 01 BURITI
CACHOEIRA,1,RUA DA CACHOEIRA
CAFUTE,1,RUA JOSE OSCAR COELHO
CAFUTE,2,388
CAICARA,1,RESIDENCIAL CAICARA
CAICARA,2,QD. 08
CAICARA,3,BL. A
CAICARA,4,RESIDENCIAL CAICARA
CAICARA,5,QD. 14
CAICARA,6,BL. B
CAICARA,7,AP. 201
CAIS DO PORTO,1,RUA LINDOIA
CAIS DO PORTO,2,377
CAJUEIRO,1,RUA MAURO MAIA
CAJUEIRO,2,516
CAMPO AVIACAO,1,RUA CONJUNTO PRO MORADIA
CAMPO AVIACAO,2,530
CAMPO DA FACA,1,RUA CHICO TAVARES
CAMPO DA FACA,2,S/N
CAMPO VELHO,1,RUA DOM LUCAS
CAMPO VELHO,2,859
CAMPO VELHO,3,RUA DOM PEDRO II
CAMPO VELHO,4,S/N
CAMPO VELHO,5,RUA GENTIL CARDOSO
CAMPO VELHO,6,S/N
CAMPO VELHO,7,RUA JULIANA SOARES DE OLIVEIRA
CAMPO VELHO,8,126
CAMPO VELHO,9,RUA SANTA EDWIRGES
CAMPO VELHO,10,486
CAN,1,RUA LUIS FABIANO 1
CAN,2,2506
CANDEIAS,1,CANDEIA DO MEIO
CANINDEZINHO,1,AV. CONEGO DE CASTRO
CANINDEZINHO,2,4500
CANINDEZINHO,3,COMUNIDADE VERTICAL
CANINDEZINHO,4,RUA ITATIAIA
CANINDEZINHO,5,1501
CANINDEZINHO,6,RUA RECANTO DO BOREL
CANINDEZINHO,7,36
CARDEAIS,1,RUA FRANCISCO MEUQUIADES
CARDEAIS,2,S/N
CARNAUBAS DOS LUCIOS,1,RUA CARNAUBAS DOS LUCIOS
CARNAUBAS DOS LUCIOS,2,S/N
CARNAUBEIRA,1,RUA JOSE AGENOR HENRIQUE
CARNAUBEIRA,2,S/N
CARRASCAL,1,RUA JOSE DE QUEIROZ PESSOA
CARRASCAL,2,3669 (POUSADA CARRASCAL)
CARRASCO,1,RUA MARIA DE LOURDES FONTES
CARRASCO,2,315
CATATAU,1,CONDOMINIO MORADA DA SERRA
CAUCAIA,1,RUA CORONEL CORREIA
CAUCAIA,2,S/N
CENTRO,1,AV ALVES DE FIGUEIREDO
CENTRO,2,338
CENTRO,3,AV CARLOS JEREISSATI
CENTRO,4,(POSTO TETRA
CENTRO,5,FRENTE AO SHOPPING MARACANAU)
CENTRO,6,RUA DA LIBERDADE
CENTRO,7,153
CENTRO,8,RUA DEOLINO BARRETO
CENTRO,9,S/N
CENTRO,10,RUA FRANCISCO MOURAO LIMA
CENTRO,11,208
CHACARA DA PRAINHA,1,RUA AUGUSTO MAGALHAES
CIDADE 2000,1,RU A CICERO PATRIARCA
CIDADE 2000,2,514
CIDADE 2000,3,RUA JOAO LINS CAVALCANTE
CIDADE 2000,4,S/N
CIDADE ALTA,1,RUA RAIMUNDINHA BELEM
CINZA,1,BECO DO MANOEL CHICUTE
CINZA,2,S/N
COACU,1,RUA SEIS
COACU,2,241
COCOBO,1,RUA PADRE CICERO
COCOBO,2,720
COCOBO,3,TRAVESSA MAJOR PEDRO ALCANTARA
COCOBO,4,259
COHAB,1,RUA 1 DE MAIO
COHAB,2,S/N
COLINA DA BOA VISTA,1,CE 362
COLINA DA BOA VISTA,2,S/N
COLONIA,1,RUA GERALDO NERIS DE SOUZA
COLONIA,2,S/N
CONJUNTO CEARA,1,AV. J
CONJUNTO CEARA,2,2870
CONJUNTO NOVA ESPERANCA,1,RUA FRANCISCO ASSIS SOBRA
CONJUNTO NOVA ESPERANCA,2,S/N
CONJUNTO PALMEIRAS,1,AV. VAL PARAISO
CONJUNTO PALMEIRAS,2,598
CONJUNTO SAO DOMINGOS,1,RUA HOLANDA
CONJUNTO SAO DOMINGOS,2,78
CORREGO,1,AV. NOVA TIANGUA
CORREGO,2,S/N
CORRENTE,1,RUA DO ESTADIO
CORRENTE,2,RUA MANUEL BILEGUA
CORRENTE,3,S/N
COSMO SANTOS,1,RUA COSMO SANTO
COSMO SANTOS,2,S/N
CRISTO REDENTOR,1,RUA MARCILIO DIAS
CRISTO REDENTOR,2,1615
CURIO,1,AV. WASHINGTON SOARES
CURIO,2,7250
DAMAS,1,AV. BORGES DE MELO
DAS TAMARINA,1,AV. ILIDIO SAMPAIO
DAS TAMARINA,2,S/N
DE FATIMA,1,PROXIMO A RUA PADRE VIEIRA
DERT,1,RUA DECIMA MENDES
DERT,2,S/N
DIADEMA,1,RUA MANOEL CONRADO
DIADEMA,2,S/N
DIAS MACEDO,1,AV. ALBERTO CRAVEIRO
DIAS MACEDO,2,1480
DIAS MACEDO,3,ESCOLA MUNICIPAL ODILON BRAVEZA
DISTRITO DE ICARAI,1,RUA VILA NOVA
DISTRITO DE ICARAI,2,LOCALIDADE DE PARNAMBUQUINHO
DISTRITO DE SABIAGUABA,1,LOCALIDADE DE CAMPO GRANDE
DOIS RIACHOS,1,ZONA RURAL
DOM JOSE,1,RUA FRANCISQUINHA FROTA
DOM JOSE,2,RUA FRANCISQUINHA FROTA
DOM JOSE,3,S/N
DOM TIMOTEO,1,RUA DO MEIO
DOM TIMOTEO,2,S/N
EDSON QUEIROZ,1,RUA LUCAS FRANCISCO ANTONIO
EDSON QUEIROZ,2,RUA MARTINS DE CASTRO
EDSON QUEIROZ,3,482
EMBOACA,1,RUA DO MORRO
EMPRESTIMO,1,RUA DAS CASINHAS
EMPRESTIMO,2,RUA RAIMUNDO PORFIRIO DE LIMA
EMPRESTIMO,3,S/N
ESCOLA NORMAL,1,RUA JOAO BENICIO FONTENELE
ESTADIO,1,PRACA DA LIBERDADE
FARIAS BRITO,1,RUA FREI HUMBERTO
FARIAS BRITO,2,57
FATIMA I,1,RUA FRANCISCO MARIANO
FATIMA I,2,900
FATIMA II,1,RUA DR. JULIO MAIA
FATIMA II,2,1076
FATIMA II,3,RUA PROFESSOR LISBOA RODRIGUES
FATIMA II,4,1678
FLORES,1,RUA ANTONIO TOME FILHO
FORUM,1,RUA FRANCISCO ANANIAS DE VASCONCELOS
FRANSQUINHO FERREIRA,1,PROXIMO AO CREDI REGIS
GAMELEIRA,1,RUA FRANCISCA GURGEL
GAMELEIRA,2,61
GH2,1,RUA B
GINASIO,1,RUA LUIS BEZERRA DE LIMA
GISELA PINHEIRO,1,RUA TIMBAUBA
GISELA PINHEIRO,2,99
GISELIA PINHEIRO,1,AV. JPB DE MENEZES
GOVERNADOR FERRAZ,1,RUA MARIA EUDA NUNES
GOVERNADOR FERRAZ,2,S/N
GRANJA LISBOA,1,AV. OSCAR ARARIPE
GRANJA LISBOA,2,3200
GRANJA LISBOA,3,JOSE CARLOS BEZERRA
GRANJA LISBOA,4,1179
GRANVILLE,1,AV. DO CONTORNO LESTE
GUADRAPAS,1,RUA BECO DO LUCIANO
GUADRAPAS,2,S/N
HENRIQUE JORGE,1,AV HERILBADO COSTA
HENRIQUE JORGE,2,1411
HENRIQUE JORGE,3,RUA JOAQUIM MANUEL DE MACEDO
HENRIQUE JORGE,4,110
ICARAI,1,RUA NOE PRACIANO SAMPAIO
ICARAI,2,1661
IPIRANGA,1,RUA SANTUARIO DE FATIMA
IPIRANGA,2,S/N
JABUTI,1,RUA PAULINO ROCHA
JABUTI,2,100
JACARECANGA,1,RUA JORGE DE SOUSA
JACARECANGA,2,112
JACARECANGA,3,RUA PEDRO ARTUR
JACARECANGA,4,605
JAIME LOPES,1,RUA 9 DE JANEIRO
JAIME LOPES,2,598
JAIME LOPES,3,RUA LUIS PAULINO DE MORAIS
JAIME LOPES,4,S/N
JANGURUSSU,1,RUA ANTONIO ALVES RIBEIRO
JANGURUSSU,2,415
JANGURUSSU,3,RUA OSVALDO CRUZ
JANGURUSSU,4,181
JARDIM VIOLETA,1,RUA ARAGUARI COM RUA JOAO FERREIRA
JARI,1,RUA DAS FLORES
JARI,2,436
JARI,3,RUA VITORIA
JARI,4,285
JEREISSATI 1,1,RUA 26
JEREISSATI 1,2,62
JEREISSATI 2,1,RUA 68
JEREISSATI 2,2,269
JOAO CABRAL,1,RUA DAS FLORES
JOAO CABRAL,2,2123
JOAO PAULO 2,1,RUA MARCELINO CHAMPANHA
JOSE DE ALENCAR,1,TV. ROSIMEIRE
JOSE DE ALENCAR,2,64
JOSE DE ALENCAR,3,TV. ROSIMEIRE
JOSE DE ALENCAR,4,83
JOSE GERALDO DA CRUZ,1,RUA MANOEL MIGUEL CORDEIRO
JOSE WALTER,1,RUA PAU BRASIL S/N
JURITIANIA,1,RUA LUIZ GONZAGA DA SILVEIRA
JURITIANIA,2,S/N
JUVENCIO SANTANA,1,RUA MINISTRO COLOMBO DE SOUZA
JUVENCIO SANTANA,2,172
JUVENCIO SANTANA,3,1O ANDAR
KIRASH,1,LOTEAMENTO POR DO SOL
LAGOA DO TOCO,1,RUA FRANCISCA HELENEIDE DA SILVERA
LAGOA DO TOCO,2,611
LAGOA PARK,1,RUA EDMILSON CORREIA BRAGA
LAGOA PARK,2,85
LAGOA SECA,1,RUA ANTONIO INACIO
LAGOA SECA,2,276
LAGOINHA,1,RUA JOSE VALENTIM DE ALMEIDA
LAURAO,1,RUA MADALENA NUNES
LAURAO,2,1000
LOCALIDADE RIACHAO,1,CE 240
LOCALIDADE RIACHAO,2,S/N
LUZARDO VIANA,1,RUA ANTONIA CORREIA VIANA
LUZARDO VIANA,2,S/N
MACAPA,1,RUA 02
MAJORLANDIA,1,RUA EUCLIDES MOREIRA
MAJORLANDIA,2,S/N
MAJORLANDIA,3,RUA REFUGIO DOURADO
MAJORLANDIA,4,S/N
MALOCA,1,RUA ANTONIO CALIXTO
MALOCA,2,1686
MAMOEIRO,1,RUA MAMOEIRO
MAMOEIRO,2,S/N
MANGABEIRA,1,RUA DOS CAETANOS
MANGABEIRA,2,147
MANGUEIRAL,1,RUA TEREZA FRANCISCA
MANGUEIRAL,2,191
MANUEL ALVES MOTA,1,RUA BERNARDO RODRIGUES BARROS
MANUEL ALVES MOTA,2,84
MARAPONGA,1,AV. SEBASTIAO DE ABREU COM RUA MIMOSA COELHO
MARAPONGA,2,RUA NEREU RAMOS
MARAPONGA,3,300
MARATOAN,1,RUA GUSTAVO BARROSO
MARATOAN,2,1495
MARECHAL RONDON,1,TRAVESSA PONTE PRETA
MARECHAL RONDON,2,S/N
MATAQUIRI,1,ANTIGA CE 040
MATAQUIRI,2,PROXIMO AO MOTEL VELAS
MEARIM 3,1,BECO DA GERALDA
MEARIM 3,2,S/N
MESSEJANA,1,RUA CAIO FACO
MESSEJANA,2,791
MESSEJANA,3,CURIO
MINA,1,CE 187
MINA,2,S/N
MINEIROLANDIA,1,SITIO BOA ESPERANCA
MINEIROLANDIA,2,S/N
MISSAO NOVA,1,SITIO MISSAO NOVA
MOCAMBO,1,RUA DO CAMPO
MOCAMBO,2,13
MOCO,1,RUA JOSE RIBAMAR DE ALMEIDA
MONDEGO,1,RUA MAJ. PEDRO CATAO
MONDEGO,2,313
MONGUBAS,1,RUA MAJOR BENTO MOURA
MONGUBAS,2,460
MONSENHOR MURILO DE SA,1,RUA RAIMUNDO DE OCINA RODRIGUES
MONSENHOR MURILO DE SA,2,343
MONSENHOR OTACILIO,1,RUA FRANCISCO RUBENS BRANDAO
MONTE,1,RUA JOAQUIM TEODORO DA SILVA
MONTE,2,S/N
MONTE AZUL,1,RUA JOVINA MOREIRA ARAUJO
MONTE AZUL,2,S/N
MORRO DO CABRITO,1,TV. PADRE CICERO
MORRO DOURADO,1,EM FRENTE A SUBESTACAO DA ENEL
MUCUNA,1,BECO DO PAPOCO
MUCUNA,2,RUA JOSE FORTIM
MUCUNA,3,S/N
MURITI,1,RUA MOACIR GONDIM LOSSIO
MURITI,2,S/N
NOSSA SENHORA DE FATIMA,1,RUA GUSTAVO BARROSO
NOSSA SENHORA DE FATIMA,2,17
NOVA PACATUBA,1,RODOVIA 4OANEL VIARIO
NOVA PACATUBA,2,CONDOMINIO ORGULHO DO CEARA
NOVO MARACANAU,1,RUA 113
NOVO MARACANAU,2,220
NOVO MARANGUAPE,1,RUA ARMENIA BARBOSA
NOVO MARANGUAPE,2,S/N
NOVO MARANGUAPE,3,RUA JOSE FELICIANO
NOVO MARANGUAPE,4,349
NOVO MARANGUAPE II,1,RUA PEDRO LUCAS
NOVO MARANGUAPE II,2,777
OITICICA,1,RUA BOANERGES CAVALCANTE
OLHO DAGUA,1,ESTRADA DO SITIO OLHO DAGUA
OLHO DAGUA,2,RUA JACINTO HONORIO
OLINDA,1,RUA NOSSA SENHOR DAS GRACAS
OLINDA,2,240
OUTRA BANDA,1,AV. SENADOR AMIR PINTO
OUTRA BANDA,2,1577
PABUSSU,1,TV. SAO JOSE
PABUSSU,2,300
PADRE LIMA,1,RUA JOSE MARIANO NETO
PADRE PALHANO,1,RUA RENATO PARENTE
PADRE PALHANO,2,S/N
PADRE PALHANO,3,TRAVESSA PADRE ARNOBIO
PADRE PALHANO,4,S/N
PALESTINA,1,RUA BAHIA
PALESTINA,2,697
PALESTINA,3,RUA GABRIEL IZIDRO
PALESTINA,4,S/N
PALESTINA,5,FRENTE AO POSTO DE SAUDE DA PALESTINA
PARANGABA,1,RUA MONSENHOR SALVIANO
PARANGABA,2,416
PARQUE JUAREZ QUEIROZ,1,RUA JOAQUIM EVANGELISTA
PARQUE JUAREZ QUEIROZ,2,1022
PARQUE SANTA FE,1,RUA AGOSTINHO FERNANDES
PARQUE SANTA FE,2,1199
PARQUE SAO JOSE,1,RUA SANTA LIDUINA
PARQUE SAO JOSE,2,58
PARQUE SAO JOSE,3,VILA ROSANGELA
PASSAGEM,1,VILA DE AGROVILA
PASSAGEM,2,S/N
PASSAGEM DA ONCA,1,ZONA RURAL
PASSAGEM DA ONCA,2,S/N
PASSARE,1,RUA CRISTAIS PAULISTA
PASSARE,2,1053
PATOS,1,PROXIMO AO POSTO DE SAUDE
PAU DARCO,1,ZONA RURAL
PAU DARCO,2,S/N
PAVUNA,1,RUA MENINO JESUS
PAVUNA,2,120
PAVUNA,3,RUA SAO FRANCISCO
PAVUNA,4,S/N
PEDRA BRANCA,1,RUA CHIQUINHA NOGUEIRA
PEDRA BRANCA,2,03
PEDRA BRANCA,3,RUA LUIZ VASCONCELOS
PEDRA BRANCA,4,QUADRA 22
PEDRA BRANCA,5,CASA 07
PEDREIRA,1,RUA 31 DE MARCO
PEDREIRA,2,S/N
PEDRINHAS,1,RUA FRANCISCO CUSTODIO DE AZEVEDO
PEDRINHAS,2,RUA MIGUEL CANUTO DE OLIVEIRA
PEDRINHAS,3,24
PEDRINHAS,4,RUA OTHON DE ALENCAR
PEDRINHAS,5,RUA OTHON DE ALENCAR
PEDRINHAS,6,399
PEDRINHAS,7,RUA TARCISIO ARAUJO SANTANA
PEDRINHAS,8,S/N
PEDRO ROCHA,1,BR 222
PEIXINHOS,1,RUA JUA
PEIXINHOS,2,S/N
PICARRA,1,RUA JANDIRA BASTOS
PICARRA,2,585
PICI,1,RUA BRASILIA
PICI,2,927
PICUI,1,R7UA MENINO JESUS
PICUI,2,1599
PICUI,3,RUA DOM MANUEL
PICUI,4,1320A
PIRAMBU,1,RUA NOSSA SENHORA DAS GRACAS
PIRAMBU,2,824
PIRATININGA,1,RUA TIRADENTES COM RUA BELEM
PLANALTO,1,RUA ANTONIO MENDONCA
PLANALTO,2,533
PLANALTO AIRTON SENNA,1,RUA PAULINHO PAIACAN
PLANALTO AIRTON SENNA,2,12
PLANALTO AYRTON SENNA,1,RUA ACRE
PLANALTO AYRTON SENNA,2,220
PLANALTO AYRTON SENNA,3,RUA DAS PALMAS
PLANALTO AYRTON SENNA,4,433
PLANALTO AYRTON SENNA,5,CIDADE NOVA
PLANALTO BENJAMIN,1,RUA SANTA MADALENA
PLANALTO BENJAMIN,2,S/N
PLANALTO CAUCAIA,1,RUA W COM RUA LUIS FELIPE
PLANALTO DA BELA VISTA,1,TRAV. JOAO AFONSO
PLANALTO PICI,1,TV. ABILIO FARIAS
PLANALTO PICI,2,31
POCO DA ONCA,1,ZONA RURAL
POCO DA ONCA,2,S/N
PONTA DAGUA,1,CE 040
PONTAL,1,RUA JOSE GONCALVES FERREIRA LIMA
PONTAL,2,1691
POPULARES,1,RUA SINESIO BARRETO
PORTELINHA,1,RUA JARDIM DAS OLIVEIRAS
PORTELINHA,2,S/N
POTIRA,1,RUA ANAGE
POTIRA,2,580
POTIRA,3,RUA NOVA IGUACU
POTIRA,4,2674
POTIRA II,1,RUA VERA LUCIA
POTIRA II,2,20
PRACA DO CRISTO,1,ESCADARIA DO CRISTO
PRAIA DO FUTURO,1,AV. CLOVIS ARRAIS MAIA
PRAIA DO FUTURO,2,1583
PRAINHA,1,RUA MANOEL HENRIQUE DANTAS
PREFEITO JOSE WALTER,1,RUA 8 H
PROURBE,1,RUA JOCELY LOPES
PROURBE,2,76
QUEIMADAS,1,RUA BV
QUEIMADAS,2,S/N
QUINTINO CUNHA,1,RUA DONA LUCIA PINHEIRO
QUINTINO CUNHA,2,2410
RECANTO I,1,RUA CARMELITA MOURA
RECANTO I,2,133
RENASCER,1,RUA 6
RENASCER,2,S/N
RENE LUCENA,1,RUA BASILIO NETO
RENE LUCENA,2,30
RESIDENCIAL CAICARA,1,RESIDENCIAL CAICARA
RIACHINHO,1,RUA NOVA
RIACHINHO,2,12
RODOVIARIA,1,RUA DA CACHORRA MAGRA
RODOVIARIA,2,498
RODOVIARIA,3,RUA PADRE LEOPOLDO ROLIM
RODOVIARIA,4,S/N
ROMEIRAO,1,AV. PARANA
ROMEIRAO,2,55
ROMEIRAO,3,RUA LUCIANO TEOFILO
ROMEIRAO,4,2746
ROSARIO,1,RUA NATANAEL PEREIRA
ROSARIO,2,448
SABIAGUABA,1,RODOVIA CE-010
SALGADO,1,BR 222
SALGADO,2,S/N
SALGUIN,1,RUA DA REPUBLICA
SALGUIN,2,475
SALINAS,1,RUA PROJETADA 10
SALINAS,2,S/N
SANTA CASA,1,RUA PINTOR LEMOS
SANTA CASA,2,S/N
SANTA LUZIA,1,RUA MANOEL DOS SANTOS LESSA COM RUA PEDRO MOREIRA
SANTA LUZIA,2,RUA VEREADOR ANTONIO MATOS
SANTA LUZIA,3,25
SANTA TEREZA,1,RUA JOSE ANDRADE DE LAVOR
SANTA TEREZA,2,S/N
SANTA TEREZA,3,RUA SAO DAMIAO
SANTA TEREZA,4,15
SANTA TEREZA,5,VILA DE SANTA TEREZA
SANTA TEREZA,6,S/N
SANTO ANTONIO,1,PRACA DA IGREJA DO SANTO ANTONIO
SANTO ANTONIO,2,S/N
SANTO ANTONIO,3,RUA SAO JOAQUIM
SANTO ANTONIO,4,1004
SANTO EXPEDITO,1,RUA EXPEDITO COELHO DE MORAIS
SAO DOMINGOS,1,RUA COSMO VIEIRA
SAO DOMINGOS,2,53
SAO FRANCISCO,1,RUA GENESIO RICARTE
SAO FRANCISCO,2,327
SAO FRANCISCO,3,RUA MANOEL TIBURTINO FILHO
SAO FRANCISCO 2,1,RUA CHICO MARTINS
SAO FRANCISCO 2,2,65
SAO GONCALO,1,ARAPARI
SAO JOSE,1,RUA CORONEL JOSE POMPEU
SAO JOSE,2,RUA CORONEL TOBIAS
SAO JOSE,3,S/N
SAO JOSE,4,RUA ENGENHEIRO APOLONIO MACEDO DA COSTA
SAO JOSE,5,1723
SAO JOSE,6,RUA ISAIAS MAGALHAES
SAO JOSE,7,S/N
SAO MIGUEL,1,RUA ELIZEU ORIA COM RUA ESMERINO PARENTE
SAO PEDRO,1,RUA ALTO DA BRASILIA
SAO PEDRO,2,RUA ALTO DA BRASILIA
SAO PEDRO,3,S/N
SAO PEDRO,4,RUA QUINTINO BOCAIUVA
SAO PEDRO,5,267
SEDE,1,LOCALIDADE DE SANTA TEREZINHA
SEDE,2,VILA DO PADRE
SEMINARIO,1,RUA 13 DE DEZEMBRO
SEMINARIO,2,95A
SEMINARIO,3,RUA COELHO ALVES
SEMINARIO,4,138
SEMINARIO,5,RUA CORONEL LUIZ TEIXEIRA
SEMINARIO,6,1646
SEMINARIO,7,RUA DIOGENES FRAZAO
SEMINARIO,8,687
SEMINARIO,9,RUA SANTO ANTONIO SANTANA GALVAO
SEMINARIO,10,S/N
SERRINHA,1,TV. SAO CARLOS
SERRINHA,2,80
SERTAOZINHO,1,PRAIA DA BALEIA
SERTAOZINHO,2,S/N
SINHA SABOIA,1,RUA SINHA SABOIA
SINHA SABOIA,2,483
SIQUEIRA,1,RUA JOSE MAURICIO
SIQUEIRA,2,858
SITIO CAPOEIRA,1,RUA FRANCISCO CANDIDO DA COSTA
"SITIO PINHEIRA, S/N",1,JAMACARU
SITIO PITANGUINHA,1,CE 187 KM 04
SITIO PITANGUINHA,2,S/N
SITIO SECRETO,1,ZONA RURAL
SITIO SECRETO,2,COCOCI
SUMARE,1,RUA ARCO VERDE
SUMARE,2,RUA NOSSA SENHORA DO CARMO (EEMTI PROFESSORA CARMOSINA FERREIRA GOMES)
SUMARE,3,RUA TUBIBA
SUMARE,4,S/N
TABAPUAZINHO,1,RUA CARIRI
TABAPUAZINHO,2,2160
TABULEIRO,1,ANTONIO GERARDO FILHO
TABULEIRO,2,1236
TABULEIRO,3,RUA CEL. FRANCISCO RAIMUNDO
TABULEIRO,4,RUA LUIZ ESTEVAO
TABULEIRO,5,323
TABULEIRO DO CATAVENTO,1,CE 356
TERRA PROMETIDA,1,PROXIMO A ARENINHA
TERRA PROMETIDA,2,S/N
TERRENOS NOVOS,1,RUA FRANCISCO JACINTO
TERRENOS NOVOS,2,S/N
TERRENOS NOVOS,3,PRACA DA CRIANCA
