global_rank,micronode_id,score,bairro,regional,faction,longitude,latitude,local_street_pressure,nearby_streets_count,nearby_streets
453,Residencial Rachel de Queiroz,28.635,QUIXADA,interior,CV,-39.058552363636366,-4.96504809090909,1.019,3,RESIDENCIAL RACHEL DE QUEIROZ; RUA FERNANDO BARBOSA; RUA JOSÉ JUCÁ NETO
454,Inhuçu - São Benedito,28.633,SAO BENEDITO,interior,CV,-40.87052004222223,-4.1153859859259265,2.342,5,INHUÇU - SÃO BENEDITO; TRAVESSA MANOEL JORGE; AVENIDA BRANDÃO
455,Multirão - itaitinga,28.585,ITAITINGA,rmf,CV,-38.517851285714286,-4.0016680000000004,1.406,2,MULTIRÃO - ITAITINGA; LAJE DOS GATOS - ITAITINGA
456,Juatama - Quixadá,28.562,QUIXADÁ,interior,CV,-39.03955597183098,-5.089680549295776,0.735,1,JUATAMA - QUIXADÁ
457,Marinheiros,28.517,TRAIRI,interior,CV,-39.474096553333325,-3.169769940000001,1.386,3,MARINHEIROS; ESTRADA VALDEVINO; ESTRADA LAGOA DO MATO
458,SOCORRO - LIMOEIRO DO NORTE,28.477,LIMOEIRO DO NORTE,interior,CV,-38.10266135,-5.160396775000001,2.36,4,SOCORRO - LIMOEIRO DO NORTE; BROTOLANCIA - LIMOEIRO DO NORTE; LIMOEIRINHO - LIMOEIRO DO NORTE
459,ZÉ AIRES,28.472,TRAIRI,interior,PCC,-39.39021368913044,-3.352917054347827,0.762,2,ZÉ AIRES; BECO PARÁ MARRECAS 2
460,PITOMBEIRA - RUSSAS,28.47,QUIXERE,interior,CV,-37.9911094054054,-4.960164531531533,0.946,2,PITOMBEIRA - RUSSAS; ESTRADA POÇO DO BOI
461,VILA DA PAZ - LIMOEIRO DO NORTE,28.435,LIMOEIRO DO NORTE,interior,CV,-38.15064433333333,-5.152884121212122,2.313,5,VILA DA PAZ - LIMOEIRO DO NORTE; RUA JOSÉ VICTOR DE OLIVEIRA; BURACO DA GIA - LIMOEIRO DO NORTE
462,CIDADE UNIVERSITÁRIA - RUSSAS,28.384,QUIXERE,interior,CV,-37.975623,-4.946455637681161,1.936,6,CIDADE UNIVERSITÁRIA - RUSSAS; TRAVESSA CORONEL JOSÉ VIÊIRA; RUA PADRE RAUL VIÊIRA
463,AEROPORTO - RUSSAS,28.38,QUIXERE,interior,CV,-38.002253057471265,-4.944089206896553,2.001,5,CE-522; AEROPORTO - RUSSAS; ALTO SÃO JOÃO - RUSSAS
464,LIMOEIRO DO NORTE - TOMÉ - PCC,28.36,QUIXERE,interior,PCC,-37.953304218750006,-5.135131640625001,1.979,5,RUA MARIA LEONILIA DE LIMA SANTIAGO; RUA RAIMUNDO GALDINO SILVEIRA LIMA; LIMOEIRO DO NORTE - TOMÉ - PCC
465,BOM NOME - LIMOEIRO DO NORTE - TCP,28.357,LIMOEIRO DO NORTE,interior,CV,-38.0838586875,-5.144969234375,1.541,5,BOM NOME - LIMOEIRO DO NORTE - TCP; RUA AUGUSTO FIDÉLIS; SANTA LUZIA - LIMOEIRO DO NORTE
466,LIMOEIRINHO - LIMOEIRO DO NORTE,28.219,LIMOEIRO DO NORTE,interior,CV,-38.106248,-5.156085289473682,1.988,5,LIMOEIRINHO - LIMOEIRO DO NORTE; SOCORRO - LIMOEIRO DO NORTE; BROTOLANCIA - LIMOEIRO DO NORTE
467,ALTO DO VELAME - RUSSAS,28.215,QUIXERE,interior,CV,-37.976010579710135,-4.955164681159422,1.726,3,ALTO DO VELAME - RUSSAS; RUA FELIPE SANTIAGO; RUA ALTO DO VELAME
468,Pedras - Morada Nova,28.19,LIMOEIRO DO NORTE,interior,CV,-38.24127560714286,-5.130356857142857,2.087,3,PEDRAS - MORADA NOVA; RUA ANA NOGUEIRA MAIA; RUA JOÃO MONTEIRO
469,SITIO CANTO - RUSSAS,28.186,QUIXERE,interior,PCC,-38.02220749112428,-4.987135136094675,1.71,2,SITIO CANTO; SITIO CANTO - RUSSAS
470,SAO RAIMUNDO - LIMOEIRO DO NORTE - TCP,28.109,LIMOEIRO DO NORTE,interior,CV,-38.086666107438006,-5.113307847107439,0.961,3,SAO RAIMUNDO - LIMOEIRO DO NORTE - TCP; BOA FE - LIMOEIRO DO NORTE - TCP; MULTIRÃO - LIMOEIRO DO NRTE
471,PEIXE - RUSSAS - PCC,28.095,RUSSAS,interior,PCC,-38.08785828813553,-4.922848347457627,1.494,3,TRAVESSA RAIMUNDO FERREIRA DE FREITAS; PEIXE - RUSSAS - PCC; PEIXE - RUSSAS
472,BURACO DA GIA - LIMOEIRO DO NORTE,28.057,LIMOEIRO DO NORTE,interior,CV,-38.15559006896551,-5.151027715517245,2.005,5,BURACO DA GIA - LIMOEIRO DO NORTE; VILA DA PAZ - LIMOEIRO DO NORTE; RUA JOSÉ VICTOR DE OLIVEIRA
473,Carnauba Torta,28.015,TRAIRI,interior,CV,-39.253082731707316,-3.2896192682926833,1.818,4,CARNAUBA TORTA; SÃO GONÇALO; SÃO JOSÉ
474,ALTO SÃO JOÃO - RUSSAS,27.964,QUIXERE,interior,CV,-37.996086509803916,-4.942077803921569,1.513,3,RUA HERMÍNIO DE OLIVEIRA BRITO; ALTO SÃO JOÃO - RUSSAS; TRAVESSA DA CHESF
475,RAMAL DE FLORES - RUSSAS - PCC,27.938,LIMOEIRO DO NORTE,interior,PCC,-38.07556326771655,-5.05932151968504,1.507,4,RAMAL DE FLORES - RUSSAS - PCC; TRAVESSA FRANCISCO ANTÔNIO; RUA DOIS IRMÃOS
476,Santa Maria - Limoeiro Do Norte,27.921,LIMOEIRO DO NORTE,interior,CV,-38.01242125,-5.22775815,1.941,2,SANTA MARIA - LIMOEIRO DO NORTE; ESTRADA SANTA MARIA SANTA FÉ
477,PLACAS - RUSSAS,27.902,QUIXERE,interior,CV,-37.99741577777778,-4.954677599999999,1.504,3,PLACAS - RUSSAS; RUA ALEXANDRE MARREIRO; ESTRADA POÇO DO BOI
478,Emboaça,27.88,TRAIRI,interior,CV,-39.31297116666667,-3.209067766666666,1.731,3,EMBOAÇA; RUA ESMERALDA; RUA DO MERCADO
479,SITIO GARÇAS - RUSSAS - PCC,27.879,QUIXERE,interior,CV,-37.960301022222225,-4.942605,1.543,4,SITIO GARÇAS - RUSSAS - PCC; AVENIDA GONÇALVES; NOSSA SENHORA DE FATIMA - RUSSAS - PCC
480,Peixinhos - Canaã,27.817,TRAIRI,interior,CV,-39.347104037037035,-3.225057222222222,1.721,3,PEIXINHOS - CANAÃ; BECO JOSÉ ARMANDO; CE-346
481,MIGUEL PEREIRA DO MAURO - RUSSAS  - PCC,27.717,LIMOEIRO DO NORTE,interior,PCC,-38.063511720000015,-5.043986666666668,1.337,2,MIGUEL PEREIRA DO MAURO - RUSSAS  - PCC; ESTRADA JARDIM AO MIGUEL PEREIRA
482,POÇO REDONDO - RUSSAS - PCC,27.704,QUIXERE,interior,CV,-37.94990885263159,-4.933327715789474,1.244,3,POÇO REDONDO - RUSSAS - PCC; VILA DOS CARNEIRO - RUSSAS - PCC; IPEPACUNHA - RUSSAS
483,RUSSAS - MIGUEL PEREIRA - PCC,27.576,LIMOEIRO DO NORTE,interior,PCC,-38.05053979661018,-5.04619854237288,0.904,3,VILA MIGUEL PEREIRA; RUSSAS - MIGUEL PEREIRA - PCC; MIGUEL PEREIRA DO MAURO - RUSSAS  - PCC
484,Camurupim,27.515,TRAIRI,interior,PCC,-39.2909459047619,-3.2884138571428574,1.502,3,CAMURUPIM; ILHA; GENIPAPEIRO
485,Genipapeiro,27.495,TRAIRI,interior,PCC,-39.3049085945946,-3.2935074864864857,1.443,2,GENIPAPEIRO; CAMURUPIM
486,CARAÚBAS,27.442,TRAIRI,interior,PCC,-39.333087203703705,-3.321219548148148,0.995,2,CARAÚBAS; CORREGO DOS FURTADOS
487,BOM SUCESSO - RUSSAS -  CV,27.417,QUIXERE,interior,CV,-37.95006694339623,-4.923936820754716,0.949,2,BOM SUCESSO - RUSSAS -  CV; IPEPACUNHA - RUSSAS
488,Espinho,27.406,LIMOEIRO DO NORTE,interior,CV,-38.135152875,-5.116876515625001,1.345,2,ESPINHO; RUA JULIO ALVES DE FREITAS
489,JARDIM DE SÃO JOSÉ - RUSSAS,27.383,LIMOEIRO DO NORTE,interior,PCC,-38.04626947887324,-5.011389183098593,0.642,1,JARDIM DE SÃO JOSÉ - RUSSAS
490,CORREGO FUNDO,27.305,TRAIRI,interior,PCC,-39.35669505333333,-3.36081376,1.15,1,CORREGO FUNDO
491,ARRAIAL - LIMOEIRO DO NORTE - TCP,27.304,LIMOEIRO DO NORTE,interior,CV,-38.07545486363636,-5.0979255151515135,1.092,1,ARRAIAL - LIMOEIRO DO NORTE - TCP
492,VILA RAMALHO - RUSSAS - PCC,27.292,QUIXERE,interior,PCC,-37.95963210447759,-4.9309377761194035,0.783,2,RUA FRANCISCO SÉRGIO REBOUÇAS; VILA RAMALHO - RUSSAS - PCC
493,VILA DOS CARNEIRO - RUSSAS - PCC,27.172,QUIXERE,interior,CV,-37.94912051136364,-4.937307602272727,0.855,2,VILA DOS CARNEIRO - RUSSAS - PCC; POÇO REDONDO - RUSSAS - PCC
494,CABEÇA PRETA - LIMOEIRO DO NORTE - CV,27.104,LIMOEIRO DO NORTE,interior,CV,-38.02829920289855,-5.1598713623188415,0.633,1,CABEÇA PRETA - LIMOEIRO DO NORTE - CV
495,IPEPACUNHA - RUSSAS,27.104,QUIXERE,interior,CV,-37.94033400471697,-4.927742009433965,0.575,2,IPEPACUNHA - RUSSAS; SITIO IPEPACONHA
496,Corrego dos Furtados,27.101,TRAIRI,interior,PCC,-39.32392188636365,-3.3115059318181816,1.098,2,CORREGO DOS FURTADOS; CARAÚBAS
497,São Benedito - Aurora,27.073,AURORA,interior,PCC,-38.96456607692306,-6.951640179487181,1.258,2,SÃO BENEDITO - AURORA; CAMPOS - AURORA
498,Setor NH4 - Morada Nova,26.988,LIMOEIRO DO NORTE,interior,CV,-38.21349881818182,-5.149599181818181,0.965,1,SETOR NH4 - MORADA NOVA
499,Setor NH5 - Morada Nova,26.986,LIMOEIRO DO NORTE,interior,CV,-38.188996640000006,-5.15343728,0.871,1,SETOR NH5 - MORADA NOVA
500,Sítio Canto - Russas,26.936,QUIXERE,interior,PCC,-38.01613996153846,-4.97665573076923,0.525,1,SÍTIO CANTO - RUSSAS
501,CORREGO DE AREIA - LIMOEIRO DO NORTE,26.903,LIMOEIRO DO NORTE,interior,CV,-38.122648253164584,-5.198482689873418,0.76,1,CORREGO DE AREIA - LIMOEIRO DO NORTE
502,RUSSAS - CAPIM GROSSO - BONHU - PCC,26.852,RUSSAS,interior,PCC,-38.22866372959183,-4.872710678571431,0.282,1,RUSSAS - CAPIM GROSSO - BONHU - PCC
503,MELÂNCIAS - RUSSAS - PCC,26.687,QUIXERE,interior,PCC,-37.901671442477884,-4.933208318584072,0.395,1,MELÂNCIAS - RUSSAS - PCC
504,Mundo Novo,26.561,TRAIRI,interior,PCC,-39.319031279069755,-3.2749836976744193,0.566,1,MUNDO NOVO
505,Distrito de Alto Lindo,26.08,SÃO BENEDITO,interior,TCP/GDE,-40.94264096153846,-3.982725153846154,1.509,2,DISTRITO DE ALTO LINDO; RUA OTAVIO SOARES
506,Faveira Carnaubal - São Benedito,25.522,SAO BENEDITO,interior,TCP/GDE,-40.96587966645961,-4.060128154037268,1.095,1,FAVEIRA CARNAUBAL - SÃO BENEDITO
507,COMUNIDADE AEROPORTO OU CAMPO DE POUSO,25.301,SAO BENEDITO,interior,TCP/GDE,-40.895212384375,-4.041344693750001,0.973,1,COMUNIDADE AEROPORTO OU CAMPO DE POUSO
